Nome completo,Clube,UF,SVG,Medio,Grande,Feminino,Masculino,Libertadores (masculina),Info sobre alteração de nome,,,,,
Parnahyba Sport Club,Parnahyba,PI,pi_parnahyba.svg,pi_parnahyba_512x512.png,pi_parnahyba_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Piauí Esporte Clube,Pauí,PI,pi_piaui.svg,pi_piaui_512x512.png,pi_piaui_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Azuriz Futebol de Alta Performance SAF,Azuriz,PR,pr_azuriz.svg,pr_azuriz_512x512.png,pr_azuriz_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Leão do Vale - Cianorte Futebol Clube Saf,Cianorte,PR,pr_cianorte.svg,pr_cianorte_512x512.png,pr_cianorte_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Futebol Clube Cascavel Ltda,FC Cascavél,PR,pr_fc-cascavel.svg,pr_fc-cascavel_512x512.png,pr_fc-cascavel_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Goncalves Bacetto E Pelc Esporte Clube Ltda - Sãojoseense,São Joseense,PR,pr_sao-joseense.svg,pr_sao-joseense_512x512.png,pr_sao-joseense_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
America Football Club,América FC,RJ,rj_america-rj.svg,rj_america-rj_512x512.png,rj_america-rj_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Madureira esporte clube,Madureira,RJ,rj_madureira.svg,rj_madureira_512x512.png,rj_madureira_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Marica Futebol Clube Ltda,Maricá,RJ,rj_marica.svg,rj_marica_512x512.png,rj_marica_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Nova Iguaçu Saf - Sociedade Anônima de Futebol,Nova Iguaçu,RJ,rj_nova-iguacu.svg,rj_nova-iguacu_512x512.png,rj_nova-iguacu_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Associação Atlética Portuguesa,Portuguesa-RJ,RJ,rj_portuguesa-rj.svg,rj_portuguesa-rj_512x512.png,rj_portuguesa-rj_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Sampaio Correa Futebol E Esporte Ltda.,Sampaio Corrêa-RJ,RJ,rj_sampaio-correa-rj.svg,rj_sampaio-correa-rj_512x512.png,rj_sampaio-correa-rj_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
ABC Futebol Clube,ABC FC,RN,rn_abc.svg,rn_abc_512x512.png,rn_abc_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
América Futebol Clube S.A.F,América-RN,RN,rn_america-rn.svg,rn_america-rn_512x512.png,rn_america-rn_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Clube Laguna Sociedade Anônima do Futebol,Laguna,RN,rn_laguna-rn.svg,rn_laguna-rn_512x512.png,rn_laguna-rn_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Guaporé Futebol Clube,Guaporé,RO,ro_guapore.svg,ro_guapore_512x512.png,ro_guapore_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Gazin Porto Velho Esporte Clube,Gazin Porto Velho,RO,ro_porto-velho.svg,ro_porto-velho_512x512.png,ro_porto-velho_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Grêmio Atlético Sampaio - GAS,Sampaio,RR,rr_gremio-atletico-sampaio.svg,rr_gremio-atletico-sampaio_512x512.png,rr_gremio-atletico-sampaio_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
Monte Roraima Futebol Clube - Sociedade Anônima do Futebol,Monte Roraima,RR,rr_monte-roraima.svg,rr_monte-roraima_512x512.png,rr_monte-roraima_3000x3000.png,não participou,Brasileiro série D,não participou,,,,,,
São Raimundo Esporte Clube,São Raimundo-RR,RR,rr_sao-raimundo-rr.svg,rr_sao-raimundo-rr_512x512.png,rr_sao-raimundo-rr_3000x3000.png,Brasileiro série A3,Brasileiro série D,não participou,,,,,,
